2022-09-21 19:12:56,918 INFO  [main] o.s.b.t.a.w.s.WebMvcTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [market.controller.backend.BackendControllerTest], using SpringBootContextLoader
2022-09-21 19:12:56,929 INFO  [main] o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [market.controller.backend.BackendControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-09-21 19:12:56,931 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [market.controller.backend.BackendControllerTest]: BackendControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-09-21 19:12:57,077 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration market.controller.Application for test class market.controller.backend.BackendControllerTest
2022-09-21 19:12:57,080 INFO  [main] o.s.b.t.a.w.s.WebMvcTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-09-21 19:12:57,098 INFO  [main] o.s.b.t.a.w.s.WebMvcTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3bffddff, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@66971f6b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@50687efb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@517bd097, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@142eef62, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4a9cc6cb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5990e6c5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@56e07a08, org.springframework.test.context.event.EventPublishingTestExecutionListener@35d6ca49, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1950e8a6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@47289387, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@12cd9150, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@114a85c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@f415a95, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@cf65451]
2022-09-21 19:12:57,552 INFO  [background-preinit] o.h.v.i.u.Version - HV000001: Hibernate Validator 6.1.7.Final
2022-09-21 19:12:57,591 INFO  [main] m.c.b.BackendControllerTest - Starting BackendControllerTest using Java 17.0.4.1 on DESKTOP-CD8KROV with PID 16000 (started by Компьютер in D:\Practices\kursovay\market-master\market-web)
2022-09-21 19:12:57,594 DEBUG [main] m.c.b.BackendControllerTest - Running with Spring Boot v2.4.3, Spring v5.3.4
2022-09-21 19:12:57,596 INFO  [main] m.c.b.BackendControllerTest - No active profile set, falling back to default profiles: default
2022-09-21 19:12:57,619 WARN  [main] o.s.b.c.c.ConfigDataEnvironment - Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 41:13]
